day,date,portfolio_value,daily_return_pct,cumulative_return_pct
128,2025-02-26,728773.94,2.7201,-27.1226
129,2025-02-27,731084.22,0.317,-26.8916
130,2025-02-28,742919.21,1.6188,-25.7081
131,2025-03-03,731151.99,-1.5839,-26.8848
132,2025-03-04,729934.13,-0.1666,-27.0066
133,2025-03-05,732618.64,0.3678,-26.7381
134,2025-03-06,747819.49,2.0749,-25.2181
135,2025-03-07,732585.67,-2.0371,-26.7414
136,2025-03-10,741147.72,1.1687,-25.8852
137,2025-03-11,746258.85,0.6896,-25.3741
138,2025-03-12,759842.67,1.8203,-24.0157
139,2025-03-13,766186.31,0.8349,-23.3814
140,2025-03-14,766511.83,0.0425,-23.3488
141,2025-03-17,761560.32,-0.646,-23.844
142,2025-03-18,750001.24,-1.5178,-24.9999
143,2025-03-19,751610.05,0.2145,-24.839
144,2025-03-20,749730.75,-0.25,-25.0269
145,2025-03-21,767756.68,2.4043,-23.2243
146,2025-03-24,761973.71,-0.7532,-23.8026
147,2025-03-25,764750.88,0.3645,-23.5249
148,2025-03-26,750199.19,-1.9028,-24.9801
149,2025-03-27,746489.04,-0.4946,-25.3511
150,2025-03-28,748679.07,0.2934,-25.1321
151,2025-03-31,757707.69,1.2059,-24.2292
152,2025-04-01,773938.94,2.1422,-22.6061
153,2025-04-02,773194.24,-0.0962,-22.6806
154,2025-04-03,760004.57,-1.7059,-23.9995
155,2025-04-04,764996.1,0.6568,-23.5004
156,2025-04-07,770699.0,0.7455,-22.9301
157,2025-04-08,776151.59,0.7075,-22.3848
158,2025-04-09,767765.81,-1.0804,-23.2234
159,2025-04-10,780588.08,1.6701,-21.9412
160,2025-04-11,781383.07,0.1018,-21.8617
161,2025-04-14,789351.12,1.0197,-21.0649
162,2025-04-15,804199.68,1.8811,-19.58
163,2025-04-16,811308.07,0.8839,-18.8692
164,2025-04-17,814551.47,0.3998,-18.5449
165,2025-04-18,840610.54,3.1992,-15.9389
166,2025-04-21,843431.25,0.3356,-15.6569
167,2025-04-22,839433.84,-0.4739,-16.0566
168,2025-04-23,840591.84,0.138,-15.9408
169,2025-04-24,859035.71,2.1942,-14.0964
170,2025-04-25,860307.67,0.1481,-13.9692
171,2025-04-28,866751.95,0.7491,-13.3248
172,2025-04-29,882037.96,1.7636,-11.7962
173,2025-04-30,874987.94,-0.7993,-12.5012
174,2025-05-01,852064.53,-2.6199,-14.7935
175,2025-05-02,855635.83,0.4191,-14.4364
176,2025-05-05,858327.67,0.3146,-14.1672
177,2025-05-06,850242.1,-0.942,-14.9758
178,2025-05-07,861096.54,1.2766,-13.8903
179,2025-05-08,868685.82,0.8814,-13.1314
180,2025-05-09,855460.18,-1.5225,-14.454
181,2025-05-12,861853.27,0.7473,-13.8147
182,2025-05-13,859059.51,-0.3242,-14.094
183,2025-05-14,839691.69,-2.2545,-16.0308
184,2025-05-15,845144.86,0.6494,-15.4855
185,2025-05-16,844318.12,-0.0978,-15.5682
186,2025-05-19,834625.99,-1.1479,-16.5374
187,2025-05-20,840922.56,0.7544,-15.9077
188,2025-05-21,846827.01,0.7021,-15.3173
189,2025-05-22,839236.85,-0.8963,-16.0763
190,2025-05-23,844024.94,0.5705,-15.5975
191,2025-05-26,856622.83,1.4926,-14.3377
192,2025-05-27,847208.55,-1.099,-15.2791
193,2025-05-28,851794.78,0.5413,-14.8205
194,2025-05-29,851574.45,-0.0259,-14.8426
195,2025-05-30,880264.13,3.369,-11.9736
196,2025-06-02,855410.27,-2.8235,-14.459
197,2025-06-03,864074.94,1.0129,-13.5925
198,2025-06-04,859846.44,-0.4894,-14.0154
199,2025-06-05,858296.17,-0.1803,-14.1704
200,2025-06-06,882520.58,2.8224,-11.7479
201,2025-06-09,882142.33,-0.0429,-11.7858
202,2025-06-10,911530.16,3.3314,-8.847
203,2025-06-11,905211.23,-0.6932,-9.4789
